<!-- List of MUFI-Entities and their codes as in "norron.dtd" by 6 Feb 2004 -->

&#xEF27;	&gscapdotbl;
&#xE151;	&Jdotbl;
&#xE551;	&jdotbl;
&#xEF28;	&lscapdotbl;
&#xEF29;	&mscapdotbl;
&#xEF2A;	&nscapdotbl;
&#xE208;	&Oogondotbl;
&#xE608;	&oogondotbl;
&#xEFFC;	&OOligdotbl;
&#xEFFD;	&ooligdotbl;
&#xE26D;	&Pdotbl;
&#xE66D;	&pdotbl;
&#xE288;	&Qdotbl;
&#xE688;	&qdotbl;
&#xEF2B;	&rscapdotbl;
&#xE7C1;	&rrotdotbl;
&#xEF2C;	&sscapdotbl;
&#xE7C2;	&slongdotbl;
&#xEF2D;	&tscapdotbl;
&#xE39F;	&THORNdotbl;
&#xE79F;	&thorndotbl;
&#xE3E6;	&Vinsdotbl;
&#xE7E6;	&vinsdotbl;
&#xEFFE;	&AAliguml;
&#xEFFF;	&aaliguml;
&#xE042;	&AEliguml;
&#xE442;	&aeliguml;
&#xE033;	&Acurl;
&#xE433;	&acurl;
&#xE0E9;	&Ecurl;
&#xE4E9;	&ecurl;
&#xE12A;	&Icurl;
&#xE52A;	&icurl;
&#xE163;	&Jcurl;
&#xE563;	&jcurl;
&#xE3D3;	&Ocurl;
&#xE7D3;	&ocurl;
&#xE3D4;	&Oslashcurl;
&#xE7D4;	&oslashcurl;
&#xE331;	&Ucurl;
&#xE731;	&ucurl;
&#xE385;	&Ycurl;
&#xE785;	&ycurl;
&#xE040;	&AEligogon;
&#xE440;	&aeligogon;
&#xE24F;	&Oogoncurl;
&#xE64F;	&oogoncurl;
&#xE255;	&Oslashogon;
&#xE655;	&oslashogon;
&#xE6EE;	&togon;
&#xE03F;	&AEligbreve;
&#xE43F;	&aeligbreve;
&#xE376;	&Ybreve;
&#xE776;	&ybreve;
&#xE010;	&Amacrbreve;
&#xE410;	&amacrbreve;
&#xE03D;	&AEligmacrbreve;
&#xE43D;	&aeligmacrbreve;
&#xE0B7;	&Emacrbreve;
&#xE4B7;	&emacrbreve;
&#xE137;	&Imacrbreve;
&#xE537;	&imacrbreve;
&#xE21B;	&Omacrbreve;
&#xE61B;	&omacrbreve;
&#xE30B;	&Umacrbreve;
&#xE70B;	&umacrbreve;
&#xE375;	&Ymacrbreve;
&#xE775;	&ymacrbreve;
&#xE00A;	&Amacracute;
&#xE40A;	&amacracute;
&#xE03A;	&AEligmacracute;
&#xE43A;	&aeligmacracute;
&#xE135;	&Imacracute;
&#xE535;	&imacracute;
&#xE309;	&Umacracute;
&#xE709;	&umacracute;
&#xE373;	&Ymacracute;
&#xE773;	&ymacracute;
&#xF200;	&ains;
&#xF201;	&ainsenl;
&#xF202;	&aopen;
&#xF203;	&aclose;
&#xF204;	&aeligred;
&#xF205;	&AOligred;
&#xF206;	&aoligred;
&#xF109;	&dunc;
&#xF10A;	&eunc;
&#xf10C;	&Fins;
&#xf10D;	&fins;
&#xF207;	&finsclose;
&#xF110;	&Hins;
&#xE55C;	&jnodot;
&#xF208;	&kunc;
&#xF209;	&kclose;
&#xF11A;	&munc;
&#xF20A;	&OOlig;
&#xF20B;	&oolig;
&#xF20C;	&OEligred;
&#xF20D;	&oeligred;
&#xF20E;	&rrot;
&#xF125;	&rins;
&#xF127;	&slongdes;
&#xF129;	&tunc;
&#xF210;	&Vins;
&#xF211;	&vins;
&#xF212;	&YYlig;
&#xF213;	&yylig;
&#xF13A;	&Asqu;
&#xF106;	&Csqu;
&#xF10E;	&Gsqu;
&#xF10B;	&Gins;
&#xF10F;	&gins;
&#xF14F;	&slongbarslash;
&#xF149;	&thornbarslash;
