<!-- List of MUFI-Entities and their codes as in "norron.dtd" by 6 Feb 2004 -->

&ra;	&#xF157;
&rabar;	&#xF1C1;
&ur2;	&#xF153;
&ur8;	&#xF1C2;
&ur8open;	&#xF1C3;
&ussep;	&#xF151;
&us;	&#xF15B;
&combcircdbl;	&#xF163;
&combcurl;	&#xF1C4;
&combcurlhigh;	&#xF1C5;
&combflour;	&#xF1C6;
&aeligsup;	&#xF011;
&bsup;	&#xF012;
&bscapsup;	&#xF013;
&ethsup;	&#xF014;
&dscapsup;	&#xF016;
&fsup;	&#xF017;
&gsup;	&#xF018;
&gscapsup;	&#xF019;
&ksup;	&#xF01B;
&kscapsup;	&#xF01C;
&lsup;	&#xF01D;
&lscapsup;	&#xF01E;
&mscapsup;	&#xF020;
&nsup;	&#xF021;
&nscapsup;	&#xF023;
&psup;	&#xF025;
&rscapsup;	&#xF026;
&ssup;	&#xF027;
&slongsup;	&#xF028;
&tscapsup;	&#xF02A;
&ysup;	&#xF02B;
&zsup;	&#xF02C;
&punctinter;	&#xF160;
&punctelev;	&#xF161;
&punctelevdiag;	&#xF1F0;
&quest8;	&#xF1F1;
&diacom;	&#xF1F2;
&brevdot;	&#xF1F3;
&luhsqb;	&#xF1D2;
&ruhsqb;	&#xF1D3;
&llhsqb;	&#xF1D4;
&rlhsqb;	&#xF1D5;
&luslst;	&#xF16E;
&ruslst;	&#xF16F;
&llslst;	&#xF1D6;
&rlslst;	&#xF1D7;
&anc;	&#xF70A;
&ancacute;	&#xF70B;
&ancdblac;	&#xF719;
&ancgrave;	&#xF70C;
&ancdblgrave;	&#xF71A;
&brev;	&#xF701;
&brevacute;	&#xF706;
&brevdblac;	&#xF717;
&brevgrave;	&#xF707;
&brevdblgrave;	&#xF718;
&mac;	&#xF700;
&macacute;	&#xF704;
&macdblac;	&#xF715;
&macgrave;	&#xF705;
&macdblgrave;	&#xF716;
&macbrev;	&#xF702;
&brevmac;	&#xF703;
&macbrevacute;	&#xF708;
&macbrevgrave;	&#xF709;
&dblbrevmacacute;	&#xF71B;
&dblbrevmacdblac;	&#xF71C;
&metrpause;	&#xF714;
&combdblbrevbl;	&#xF743;
&macrhigh;	&#xF00A;
&macrmed;	&#xF00B;
&ovlhigh;	&#xF00C;
&ovlmed;	&#xF00D;
&bovlmed;	&#xE44D;
&dovlmed;	&#xE491;
&hovlmed;	&#xE517;
&kovlmed;	&#xE7C3;
&lstrok;	&#xe5B0;
&lovlmed;	&#xE5B1;
&slongovlmed;	&#xE79E;
&thornovlmed;	&#xE7A2;
&Iovlhigh;	&#xE150;
&iovlmed;	&#xE550;
&Jmacrhigh;	&#xE154;
&Jovlhigh;	&#xE152;
&jmacrmed;	&#xE554;
&jovlmed;	&#xE552;
&lmacrhigh;	&#xE596;
&lovlhigh;	&#xE58C;
&Mmacrhigh;	&#xE1B8;
&Movlhigh;	&#xE1D2;
&mmacrmed;	&#xE5B8;
&movlmed;	&#xE5D2;
&AAligacute;	&#xEFE0;
&aaligacute;	&#xEFE1;
&AOligacute;	&#xEFE2;
&aoligacute;	&#xEFE3;
&AUligacute;	&#xEFE4;
&auligacute;	&#xEFE5;
&AVligacute;	&#xEFE6;
&avligacute;	&#xEFE7;
&Eogonacute;	&#xE099;
&eogonacute;	&#xE499;
&Jacute;	&#xE153;
&jacute;	&#xE553;
&Oogonacute;	&#xE20C;
&oogonacute;	&#xE60C;
&Oslashogonacute;	&#xE257;
&oslashogonacute;	&#xE657;
&OOligacute;	&#xEFE8;
&ooligacute;	&#xEFE9;
&Vacute;	&#xE33A;
&vacute;	&#xE73A;
&Adblac;	&#xE025;
&adblac;	&#xE425;
&AAligdblac;	&#xEFEA;
&aaligdblac;	&#xEFEB;
&AEligdblac;	&#xE041;
&aeligdblac;	&#xE441;
&Edblac;	&#xE0D1;
&edblac;	&#xE4D1;
&Idblac;	&#xE143;
&idblac;	&#xE543;
&Jdblac;	&#xE162;
&jdblac;	&#xE562;
&OOligdblac;	&#xEFEC;
&ooligdblac;	&#xEFED;
&Vdblac;	&#xE34B;
&vdblac;	&#xE74B;
&Ydblac;	&#xE37C;
&ydblac;	&#xE77C;
&ydotacute;	&#xE384;
&Ydotacute;	&#xE784;
&AAligdot;	&#xEFEE;
&aaligdot;	&#xEFEF;
&AYligdot;	&#xEFF0;
&ayligdot;	&#xEFF1;
&gscapdot;	&#xEF20;
&kdot;	&#xE568;
&nscapdot;	&#xEF21;
&rscapdot;	&#xEF22;
&sscapdot;	&#xEF23;
&tscapdot;	&#xEF24;
&Vdot;	&#xE34C;
&vdot;	&#xE74C;
&Vinsdot;	&#xE3E7;
&vinsdot;	&#xE7E7;
&AAligdotbl;	&#xEFF2;
&aaligdotbl;	&#xEFF3;
&AOligdotbl;	&#xEFF4;
&aoligdotbl;	&#xEFF5;
&AUligdotbl;	&#xEFF6;
&auligdotbl;	&#xEFF7;
&AVligdotbl;	&#xEFF8;
&avligdotbl;	&#xEFF9;
&AYligdotbl;	&#xEFFA;
&ayligdotbl;	&#xEFFB;
&bscapdotbl;	&#xEF25;
&Cdotbl;	&#xE066;
&cdotbl;	&#xE466;
&dscapdotbl;	&#xEF26;
&ETHdotbl;	&#xE08F;
&ethdotbl;	&#xE48F;
&Eogondotbl;	&#xE0E8;
&eogondotbl;	&#xE4E8;
&Fdotbl;	&#xE0EE;
&fdotbl;	&#xE4EE;
&Finsdotbl;	&#xE3E5;
&finsdotbl;	&#xE7E5;
&Gdotbl;	&#xE101;
&gdotbl;	&#xE501;
&gscapdotbl;	&#xEF27;
&Jdotbl;	&#xE151;
&jdotbl;	&#xE551;
&lscapdotbl;	&#xEF28;
&mscapdotbl;	&#xEF29;
&nscapdotbl;	&#xEF2A;
&Oogondotbl;	&#xE208;
&oogondotbl;	&#xE608;
&OOligdotbl;	&#xEFFC;
&ooligdotbl;	&#xEFFD;
&Pdotbl;	&#xE26D;
&pdotbl;	&#xE66D;
&Qdotbl;	&#xE288;
&qdotbl;	&#xE688;
&rscapdotbl;	&#xEF2B;
&rrotdotbl;	&#xE7C1;
&sscapdotbl;	&#xEF2C;
&slongdotbl;	&#xE7C2;
&tscapdotbl;	&#xEF2D;
&THORNdotbl;	&#xE39F;
&thorndotbl;	&#xE79F;
&Vinsdotbl;	&#xE3E6;
&vinsdotbl;	&#xE7E6;
&AAliguml;	&#xEFFE;
&aaliguml;	&#xEFFF;
&AEliguml;	&#xE042;
&aeliguml;	&#xE442;
&Acurl;	&#xE033;
&acurl;	&#xE433;
&Ecurl;	&#xE0E9;
&ecurl;	&#xE4E9;
&Icurl;	&#xE12A;
&icurl;	&#xE52A;
&Jcurl;	&#xE163;
&jcurl;	&#xE563;
&Ocurl;	&#xE3D3;
&ocurl;	&#xE7D3;
&Oslashcurl;	&#xE3D4;
&oslashcurl;	&#xE7D4;
&Ucurl;	&#xE331;
&ucurl;	&#xE731;
&Ycurl;	&#xE385;
&ycurl;	&#xE785;
&AEligogon;	&#xE040;
&aeligogon;	&#xE440;
&Oogoncurl;	&#xE24F;
&oogoncurl;	&#xE64F;
&Oslashogon;	&#xE255;
&oslashogon;	&#xE655;
&togon;	&#xE6EE;
&AEligbreve;	&#xE03F;
&aeligbreve;	&#xE43F;
&Ybreve;	&#xE376;
&ybreve;	&#xE776;
&Amacrbreve;	&#xE010;
&amacrbreve;	&#xE410;
&AEligmacrbreve;	&#xE03D;
&aeligmacrbreve;	&#xE43D;
&Emacrbreve;	&#xE0B7;
&emacrbreve;	&#xE4B7;
&Imacrbreve;	&#xE137;
&imacrbreve;	&#xE537;
&Omacrbreve;	&#xE21B;
&omacrbreve;	&#xE61B;
&Umacrbreve;	&#xE30B;
&umacrbreve;	&#xE70B;
&Ymacrbreve;	&#xE375;
&ymacrbreve;	&#xE775;
&Amacracute;	&#xE00A;
&amacracute;	&#xE40A;
&AEligmacracute;	&#xE03A;
&aeligmacracute;	&#xE43A;
&Imacracute;	&#xE135;
&imacracute;	&#xE535;
&Umacracute;	&#xE309;
&umacracute;	&#xE709;
&Ymacracute;	&#xE373;
&ymacracute;	&#xE773;
&ains;	&#xF200;
&ainsenl;	&#xF201;
&aopen;	&#xF202;
&aclose;	&#xF203;
&aeligred;	&#xF204;
&AOligred;	&#xF205;
&aoligred;	&#xF206;
&dunc;	&#xF109;
&eunc;	&#xF10A;
&Fins;	&#xf10C;
&fins;	&#xf10D;
&finsclose;	&#xF207;
&Hins;	&#xF110;
&jnodot;	&#xE55C;
&kunc;	&#xF208;
&kclose;	&#xF209;
&munc;	&#xF11A;
&OOlig;	&#xF20A;
&oolig;	&#xF20B;
&OEligred;	&#xF20C;
&oeligred;	&#xF20D;
&rrot;	&#xF20E;
&rins;	&#xF125;
&slongdes;	&#xF127;
&tunc;	&#xF129;
&Vins;	&#xF210;
&vins;	&#xF211;
&YYlig;	&#xF212;
&yylig;	&#xF213;
&Asqu;	&#xF13A;
&Csqu;	&#xF106;
&Gsqu;	&#xF10E;
&Gins;	&#xF10B;
&gins;	&#xF10F;
&slongbarslash;	&#xF14F;
&thornbarslash;	&#xF149;
